timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount
1525083761528,860,CRUD_GET - Files by repoAlias with/without optional parameters_TC-50,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats?filter=&refId=,859,1,0
1525083761441,860,[TC] - CRUD_TC-50,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,859,1,0
1525083762495,262,CRUD_GET - Files by repoAlias with/without optional parameters_TC-51,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats?filter=new-dir&refId=,262,1,0
1525083762495,262,[TC] - CRUD_TC-51,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,262,1,0
1525083762761,257,CRUD_GET - Files by repoAlias with/without optional parameters_TC-52,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats?filter=&refId=29b9b81b335b2968289388d2d92ad5859605dc7d,256,1,0
1525083762761,257,[TC] - CRUD_TC-52,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,256,1,0
1525083763029,303,CRUD_GET - Files by repoAlias with/without optional parameters_TC-53,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats?filter=new-dir&refId=253cf8590ee6ef7c6703171485f22cd16fa1459a,303,1,0
1525083763028,303,[TC] - CRUD_TC-53,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,303,1,0
1525083763337,315,CRUD_GET - Files by repoAlias with/without optional parameters_TC-54,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test?filter=&refId=,315,1,0
1525083763336,315,[TC] - CRUD_TC-54,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,315,1,0
1525083763655,639,CRUD_GET - Files by repoAlias with/without optional parameters_TC-69,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats?filter=new-dirr&refId=,639,1,0
1525083763655,639,[TC] - CRUD_TC-69,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,639,1,0
1525083764298,280,CRUD_GET - Files by repoAlias with/without optional parameters_TC-70,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats?filter=&refId=29b9b81b335b2968289388d2d92ad5859605dc7e,280,1,0
1525083764297,280,[TC] - CRUD_TC-70,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,280,1,0
1525083767927,582,CRUD_GET - Commit history for a given file_TC-58,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/new-dir/history,582,1,0
1525083767856,582,[TC] - CRUD_TC-58,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,582,1,0
1525083768607,265,CRUD_GET - Commit history for a given file_TC-61,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/porcelain/file1.txt/history,265,1,0
1525083768607,265,[TC] - CRUD_TC-61,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,265,1,0
1525083768876,247,CRUD_GET - Commit history for a given file_TC-62,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/porcelain/file2.txt/history,247,1,0
1525083768876,247,[TC] - CRUD_TC-62,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,247,1,0
1525083771931,708,CRUD_GET - Contents of the file with/without optional parameter_TC-75,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/porcelain/file1.txt?refId=,708,1,0
1525083771837,708,[TC] - CRUD_TC-75,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,708,1,0
1525083772719,248,CRUD_GET - Contents of the file with/without optional parameter_TC-76,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/porcelain/file1.txt?refId=5e6f8566b85b6207751953c5c843bdd36483ba28,247,1,0
1525083772718,248,[TC] - CRUD_TC-76,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,247,1,0
1525083772971,282,CRUD_GET - Contents of the file with/without optional parameter_TC-77,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test/test.txt?refId=,282,1,0
1525083772970,282,[TC] - CRUD_TC-77,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,282,1,0
1525083773279,295,CRUD_GET - Contents of the file with/without optional parameter_TC-78,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/test.txt?refId=,295,1,0
1525083773278,295,[TC] - CRUD_TC-78,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,295,1,0
