timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,URL,SampleCount,ErrorCount,IdleTime
1525440398555,630,Plumbing_POST_Remove_withoutAppendingParameterWithPath,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5,1,0,0
1525440399318,280,Plumbing_POST_Remove_ParametersAppenededWithPath,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5?path=test-dir&force=true,1,0,0
1525440398533,910,[TC] - Plumbing_ POST_Remove_${TestCaseId},200,"Number of samples in transaction : 2, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Remove 1-1,,true,,null,1,0,158
1525440444160,625,Plumbing_POST_Remove_withoutAppendingParameterWithPath,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5,1,0,0
1525440444842,285,Plumbing_POST_Remove_ParametersAppenededWithPath,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5?path=test-dir&force=true,1,0,0
1525440444158,910,[TC] - Plumbing_ POST_Remove_${TestCaseId},200,"Number of samples in transaction : 2, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Remove 1-1,,true,,null,1,0,64
1525440527501,0,Plumbing_POST - Add_CompleteURI_TC-92_01,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 51: http://172.16.1.200:8080/damsl/v1/rest/git-fs/add/${repoAlias1}?all=TRUE&force=FALSE&update=FALSE&path=pks-dir,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://172.16.1.200:8080/damsl/v1/rest/git-fs/add/${repoAlias1}?all=TRUE&force=FALSE&update=FALSE&path=pks-dir

JSON RESPONSE: null

REQUEST HEADERS: 

",http://172.16.1.200:8080/damsl/v1/rest/git-fs/add/${repoAlias1}?all=TRUE&force=FALSE&update=FALSE&path=pks-dir,1,1,0
1525440527544,533,Plumbing_POST - Add_with_allTC-92_08,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/add/test-layouts5?all=FALSE&force=FALSE&update=FALSE,1,0,0
1525440528084,276,Plumbing_POST - Add_with_path_TC-92_15,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/add/test-layouts5?force=FALSE&update=FALSE&path=pks-dir,1,0,0
1525440528366,526,Plumbing_POST - Add_only_allTC-92_22,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/add/test-layouts5?all=,1,0,0
1525440528897,279,Plumbing_POST - Add_only_path_TC-92_29,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/add/test-layouts5?path=,1,0,0
