timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1526638551611,1834,Match Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_${testCaseId} 1-1,text,true,,353,315,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=95&name=&remote=,1833,0,367
1526638551580,1834,[TC] - RepoMgmt_GET_Repo_Match_TC-17,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_${testCaseId} 1-1,,true,,353,315,1,1,null,1833,231,367
1526638553645,556,Match Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_${testCaseId} 1-1,text,true,,352,326,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=&name=global-stats2&remote=,556,0,263
1526638553645,556,[TC] - RepoMgmt_GET_Repo_Match_TC-48,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_${testCaseId} 1-1,,true,,352,326,1,1,null,556,2,263
1526638554205,290,Match Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_${testCaseId} 1-1,text,true,,527,360,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=&name=&remote=git@bitbucket.org:arefor/damsl-global-stats.git,290,0,0
1526638554204,290,[TC] - RepoMgmt_GET_Repo_Match_TC-22,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_${testCaseId} 1-1,,true,,527,360,1,1,null,290,4,0
1526638554499,273,Match Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_${testCaseId} 1-1,text,true,,427,313,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=&name=&remote=,273,0,0
1526638554498,273,[TC] - RepoMgmt_GET_Repo_Match_TC-23,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_${testCaseId} 1-1,,true,,427,313,1,1,null,273,4,0
1526638554776,274,Match Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_${testCaseId} 1-1,text,true,,352,318,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=99999&name=&remote=,274,0,0
1526638554776,274,[TC] - RepoMgmt_GET_Repo_Match_TC-124,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_${testCaseId} 1-1,,true,,352,318,1,1,null,274,2,0
1526638555053,278,Match Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_${testCaseId} 1-1,text,true,,352,317,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=&name=abcd&remote=,278,0,0
1526638555053,278,[TC] - RepoMgmt_GET_Repo_Match_TC-125,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_${testCaseId} 1-1,,true,,352,317,1,1,null,278,2,0
1526638555334,277,Match Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_${testCaseId} 1-1,text,true,,351,317,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=&name=&remote=abcd,277,0,0
1526638555334,277,[TC] - RepoMgmt_GET_Repo_Match_TC-126,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_${testCaseId} 1-1,,true,,351,317,1,1,null,277,2,0
1526638826804,688,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_${testCaseId} 1-1,text,true,,352,327,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/damsl-test3,688,0,406
1526638826803,688,[TC] - GET_Repo Management_TC-14,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_${testCaseId} 1-1,,true,,352,327,1,1,null,688,39,406
1526638827531,276,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_${testCaseId} 1-1,text,true,,352,330,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/damsl-test1000,276,0,0
1526638827531,276,[TC] - GET_Repo Management_TC-15,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_${testCaseId} 1-1,,true,,352,330,1,1,null,276,2,0
1526643619040,673,Plumbing_GET - Diff_TC-122_01,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=c6c5068650d944749fc4fc9530625ef77449b0b2&cached=true&path=,1,0,0
1526643619039,673,[TC] - Plumbing - GET_Diff_TC-122_01,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,60
1526643619774,275,Plumbing_GET - Diff_TC-122_02,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=aed2d2cb80e1c2109b2a02c7f64b1abf71e49742&cached=no_value&path=pks-dir,1,0,0
1526643619773,275,[TC] - Plumbing - GET_Diff_TC-122_02,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,4
1526643620054,283,Plumbing_GET - Diff_TC-122_03,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=c6c5068650d944749fc4fc9530625ef77449b0b2&cached=false&path=,1,0,0
1526643620053,283,[TC] - Plumbing - GET_Diff_TC-122_03,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,3
1526643620341,281,Plumbing_GET - Diff_TC-122_04,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=09666e2897cfd2df160a8cf5cbd001f1b454e464&cached=true&path=new-dir,1,0,0
1526643620340,281,[TC] - Plumbing - GET_Diff_TC-122_04,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,5
1526643620627,272,Plumbing_GET - Diff_TC-122_05,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=aed2d2cb80e1c2109b2a02c7f64b1abf71e49742&cached=true&path=test-dir,1,0,0
1526643620627,272,[TC] - Plumbing - GET_Diff_TC-122_05,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,3
1526643620904,275,Plumbing_GET - Diff_TC-122_06,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=c6c5068650d944749fc4fc9530625ef77449b0b2&cached=true&path=test-dir,1,0,0
1526643620903,275,[TC] - Plumbing - GET_Diff_TC-122_06,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,3
1526643621182,541,Plumbing_GET - Diff_TC-122_07,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=aed2d2cb80e1c2109b2a02c7f64b1abf71e49742&cached=false&path=,1,0,0
1526643621181,541,[TC] - Plumbing - GET_Diff_TC-122_07,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,3
