timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1526643094819,0,Match Repo,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 102: http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=${id}&name=&remote=,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,,1131,0,1,1,0,0,0
1526643094820,1,Debug Sampler,200,OK,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,true,,524,0,1,1,0,0,0
1526643094801,1,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 3, number of failing samples : 1",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,1655,0,1,1,0,21,0
1526643205293,0,Match Repo,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 102: http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=${id}&name=&remote=,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,,1131,0,1,1,0,0,0
1526643205294,0,Debug Sampler,200,OK,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,true,,525,0,1,1,0,0,0
1526643205292,0,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 3, number of failing samples : 1",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,1656,0,1,1,0,3,0
1526643245074,0,Match Repo,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 102: http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/repos/match?id=${id}&name=&remote=,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,,1131,0,1,1,0,0,0
1526643245075,0,Debug Sampler,200,OK,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,true,,525,0,1,1,0,0,0
1526643245073,0,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 3, number of failing samples : 1",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,1656,0,1,1,0,2,0
1526643365732,0,Match Repo,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 55: http://172.16.1.200:8080/damsl/v1/rest/repos/match?id=${id}&name=&remote=,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,,1083,0,1,1,0,0,0
1526643365733,0,Debug Sampler,200,OK,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,true,,477,0,1,1,0,0,0
1526643365732,0,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 3, number of failing samples : 1",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,1560,0,1,1,0,2,0
1526643400048,0,Match Repo,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 55: http://172.16.1.200:8080/damsl/v1/rest/repos/match?id=${id}&name=&remote=,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,,1083,0,1,1,0,0,0
1526643400049,0,Debug Sampler,200,OK,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,true,,450,0,1,1,0,0,0
1526643400047,0,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 3, number of failing samples : 1",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,1533,0,1,1,0,3,0
1526643501529,0,Match Repo,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://172.16.1.200:8080/damsl/v1/rest/repos/match?name=&id=${id}&remote=,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,,1083,0,1,1,0,0,0
1526643501530,0,Debug Sampler,200,OK,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,true,,450,0,1,1,0,0,0
1526643501529,0,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 3, number of failing samples : 1",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,1533,0,1,1,0,2,0
1526643817683,594,Plumbing_GET - Diff_TC-122_01,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=c6c5068650d944749fc4fc9530625ef77449b0b2&cached=true&path=,1,0,0
1526643817682,594,[TC] - Plumbing - GET_Diff_TC-122_01,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,30
1526643818307,287,Plumbing_GET - Diff_TC-122_02,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=aed2d2cb80e1c2109b2a02c7f64b1abf71e49742&cached=no_value&path=pks-dir,1,0,0
1526643818307,287,[TC] - Plumbing - GET_Diff_TC-122_02,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,2
1526643818596,268,Plumbing_GET - Diff_TC-122_03,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=c6c5068650d944749fc4fc9530625ef77449b0b2&cached=false&path=,1,0,0
1526643818596,268,[TC] - Plumbing - GET_Diff_TC-122_03,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,1
1526643818866,271,Plumbing_GET - Diff_TC-122_04,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=09666e2897cfd2df160a8cf5cbd001f1b454e464&cached=true&path=new-dir,1,0,0
1526643818866,271,[TC] - Plumbing - GET_Diff_TC-122_04,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,1
1526643819138,277,Plumbing_GET - Diff_TC-122_05,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=aed2d2cb80e1c2109b2a02c7f64b1abf71e49742&cached=true&path=test-dir,1,0,0
1526643819138,277,[TC] - Plumbing - GET_Diff_TC-122_05,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,2
1526643819418,273,Plumbing_GET - Diff_TC-122_06,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=c6c5068650d944749fc4fc9530625ef77449b0b2&cached=true&path=test-dir,1,0,0
1526643819418,273,[TC] - Plumbing - GET_Diff_TC-122_06,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,2
1526643819693,539,Plumbing_GET - Diff_TC-122_07,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_GET_Diff 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/diff/test-layouts5?x-gitfs-workspace=ewolf&commit=aed2d2cb80e1c2109b2a02c7f64b1abf71e49742&cached=false&path=,1,0,0
1526643819693,539,[TC] - Plumbing - GET_Diff_TC-122_07,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_GET_Diff 1-1,,true,,null,1,0,1
