timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,URL,SampleCount,ErrorCount,IdleTime
1528286533794,622,Plumbing_POST - Add_CompleteURI_TC-92_01,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?all=TRUE&force=FALSE&update=FALSE&path=pks-dir,1,0,0
1528286534485,272,Plumbing_POST - Add_with_allTC-92_08,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?all=FALSE&force=FALSE&update=FALSE,1,0,0
1528286534758,272,Plumbing_POST - Add_with_path_TC-92_15,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?force=FALSE&update=FALSE&path=pks-dir,1,0,0
1528286535033,517,Plumbing_POST - Add_only_allTC-92_22,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?all=,1,0,0
1528286535552,269,Plumbing_POST - Add_only_path_TC-92_29,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?path=,1,0,0
1528286535823,519,Plumbing_POST - Add_multiple_path_TC-92_36,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?path=test-dir&path=text003.txt&path=new-dir/test_03.txt,1,0,0
1528286536344,5,Debug Sampler,200,OK,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"javax.script.ScriptException: groovy.json.JsonException: Unable to determine the current character, it is not a string, number, array, or object

The current character read is 'J' with an int value of 74
Unable to determine the current character, it is not a string, number, array, or object
line number 1
index number 0
JMeterVariables:
^",null,1,1,0
1528286533793,2476,[TC] - Plumbing_ POST_Add,,"Number of samples in transaction : 8, number of failing samples : 1",[TG] - DAMSL_Plumbing_POST_Add 1-1,,false,,null,1,1,96
1528286562679,519,Plumbing_POST - Add_CompleteURI_TC-92_01,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?all=TRUE&force=FALSE&update=FALSE&path=pks-dir,1,0,0
1528286563240,266,Plumbing_POST - Add_with_allTC-92_08,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?all=FALSE&force=FALSE&update=FALSE,1,0,0
1528286563508,267,Plumbing_POST - Add_with_path_TC-92_15,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?force=FALSE&update=FALSE&path=pks-dir,1,0,0
1528286563776,515,Plumbing_POST - Add_only_allTC-92_22,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?all=,1,0,0
1528286564293,268,Plumbing_POST - Add_only_path_TC-92_29,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?path=,1,0,0
1528286564563,518,Plumbing_POST - Add_multiple_path_TC-92_36,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/add/test-layouts5?path=test-dir&path=text003.txt&path=new-dir/test_03.txt,1,0,0
1528286562679,2353,[TC] - Plumbing_ POST_Add,200,"Number of samples in transaction : 6, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Add 1-1,,true,,null,1,0,50
1528286680995,523,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: test for class: Script476,352,332,1,1,523,0,258
1528286681564,268,Plumbing_POST_Pull_${TestCaseId1},200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: jsonResponse for class: Script476,438,424,1,1,268,0,0
1528286680994,791,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 4, number of failing samples : 2",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,790,756,1,1,791,54,258
1528287712224,653,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: test for class: Script484,352,332,1,1,653,0,391
1528287712910,270,Plumbing_POST_Pull_${TestCaseId1},200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: jsonResponse for class: Script484,438,424,1,1,270,0,0
1528287712223,923,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 4, number of failing samples : 2",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,790,756,1,1,923,43,391
1528287807036,640,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: test for class: Script492,351,332,1,1,640,0,380
1528287807719,267,Plumbing_POST_Pull_${TestCaseId1},200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: jsonResponse for class: Script492,438,424,1,1,267,0,0
1528287807035,907,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 4, number of failing samples : 2",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,789,756,1,1,907,50,380
1528287892075,660,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: test for class: Script500,351,332,1,1,660,0,392
1528287892772,269,Plumbing_POST_Pull_${TestCaseId1},200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: jsonResponse for class: Script500,438,424,1,1,269,0,0
1528287892074,929,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 4, number of failing samples : 2",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,789,756,1,1,929,43,392
1528288034798,665,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: test for class: Script508,352,332,1,1,665,0,401
1528288035502,271,Plumbing_POST_Pull_${TestCaseId1},200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: jsonResponse for class: Script508,438,424,1,1,271,0,0
1528288034798,936,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 4, number of failing samples : 2",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,790,756,1,1,936,44,401
1528288057304,504,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: test for class: Script516,351,332,1,1,504,0,245
1528288057841,263,Plumbing_POST_Pull_${TestCaseId1},200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: jsonResponse for class: Script516,438,424,1,1,263,0,0
1528288057304,767,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 4, number of failing samples : 2",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,789,756,1,1,767,40,245
1528288092705,505,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: test for class: Script524,351,332,1,1,505,0,246
1528288093247,264,Plumbing_POST_Pull_${TestCaseId1},200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: jsonResponse for class: Script524,438,424,1,1,264,0,0
1528288092705,769,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 4, number of failing samples : 2",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,789,756,1,1,769,46,246
1528288121617,575,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,"javax.script.ScriptException: groovy.lang.MissingMethodException: No signature of method: org.apache.jmeter.threads.JMeterVariables.put() is applicable for argument types: (java.lang.String, java.lang.Integer) values: [condition, 1]
Possible solutions: put(java.lang.String, java.lang.String), get(java.lang.String), putAt(java.lang.String, java.lang.Object), wait(), dump(), any()",352,332,1,1,575,0,317
1528288122235,267,Plumbing_POST_Pull_${TestCaseId1},200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: jsonResponse for class: Script532,438,424,1,1,267,0,0
1528288121617,842,[TC] - DAMsl_Normal_Workflow_SingleUser_HappyPath,,"Number of samples in transaction : 4, number of failing samples : 2",[TG]-DAMsl_Normal_Workflow_Single_user 1-1,,false,,790,756,1,1,842,53,317
1528288412422,595,GET Repo,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,"javax.script.ScriptException: groovy.lang.MissingMethodException: No signature of method: org.apache.jmeter.threads.JMeterVariables.put() is applicable for argument types: (java.lang.String, java.lang.Integer) values: [condition, 1]
Possible solutions: put(java.lang.String, java.lang.String), get(java.lang.String), putAt(java.lang.String, java.lang.Object), wait(), dump(), any()",351,332,1,1,595,0,335
1528288413065,265,Plumbing_POST_Pull_${TestCaseId1},200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG]-DAMsl_Normal_Workflow_Single_user 1-1,text,false,javax.script.ScriptException: groovy.lang.MissingPropertyException: No such property: jsonResponse for class: Script541,438,424,1,1,265,0,0
