timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1525850905220,783,GET ClassSet,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] -Vege_${testCaseId} 1-1,text,true,,426,358,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/DataDictionary/v2/vegeModel/classSet?classSetName=Abhay%20Test,783,0,430
1525850905219,783,[TC] - Vege_GET_ClassSet_,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -Vege_${testCaseId} 1-1,,true,,426,358,1,1,null,783,24,430
1525850906027,267,GET ClassSet,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] -Vege_${testCaseId} 1-1,text,true,,352,346,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/DataDictionary/v2/vegeModel/classSet?classSetName=,267,0,0
1525850906026,267,[TC] - Vege_GET_ClassSet_,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -Vege_${testCaseId} 1-1,,true,,352,346,1,1,null,267,3,0
1525852118975,930,GET ClassSet,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] -Vege_${testCaseId} 1-1,text,true,,425,358,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/DataDictionary/v2/vegeModel/classSet?classSetName=Abhay%20Test,930,0,355
1525852118974,930,[TC] - Vege_GET_ClassSet_TC-141,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -Vege_${testCaseId} 1-1,,true,,425,358,1,1,null,930,31,355
1525852119936,267,GET ClassSet,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] -Vege_${testCaseId} 1-1,text,true,,352,346,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/DataDictionary/v2/vegeModel/classSet?classSetName=,264,0,0
1525852119935,267,[TC] - Vege_GET_ClassSet_,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -Vege_${testCaseId} 1-1,,true,,352,346,1,1,null,264,3,0
1525852189527,687,GET ClassSet,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] -Vege_${testCaseId} 1-1,text,true,,352,351,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/DataDictionary/v2/vegeModel/classSet?classSetName=Abhay,687,0,414
1525852189527,687,[TC] - Vege_GET_ClassSet_TC-141,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -Vege_${testCaseId} 1-1,,true,,352,351,1,1,null,687,23,414
