timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531829487464,822,GET - Browse Repo_TC-597,200,OK,[TG] - Repo 1-1,text,false,"Any or all Diagnostic fields are missing.

URL: http://dev-api-live.r4cloud.com/Statistics/v4/rest/repos/browse

JSON RESPONSE: [diagnostics:[error:0, processingTimeMs:3], data:[oracle, impala, hive]]

REQUEST HEADERS: Connection: keep-alive
Content-Type: application/json
Content-Length: 0
Host: dev-api-live.r4cloud.com
User-Agent: Apache-HttpClient/4.5.5 (Java/1.8.0_161)


",357,280,1,1,822,0,516
1531829487446,822,[TC] - Repo_TC-597,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - Repo 1-1,,false,,357,280,1,1,822,202,516
1531829511569,514,GET - Browse Datasource_TC-598,200,OK,[TG] - Repo 1-1,text,false,"Any or all Diagnostic fields are missing.

URL: http://dev-api-live.r4cloud.com/Statistics/v4/rest/repos/browse/impala

JSON RESPONSE: [diagnostics:[error:0, processingTimeMs:8], data:[_impala_builtins, default, dobie, psg, psg2, r5]]

REQUEST HEADERS: Connection: keep-alive
Content-Type: application/json
Content-Length: 0
Host: dev-api-live.r4cloud.com
User-Agent: Apache-HttpClient/4.5.5 (Java/1.8.0_161)


",390,287,1,1,514,0,252
1531829511568,514,[TC] - Repo_TC-598,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - Repo 1-1,,false,,390,287,1,1,514,44,252
1531829512129,264,GET - Browse Datasource_TC-599,200,OK,[TG] - Repo 1-1,text,false,"Any or all Diagnostic fields are missing.

URL: http://dev-api-live.r4cloud.com/Statistics/v4/rest/repos/browse/test

JSON RESPONSE: [diagnostics:[error:0, processingTimeMs:9], data:[ADMIN, AFFL_PRIZE, ANONYMOUS, APPQOSSYS, APS, AUDSYS, BDUSER, BLACKHOLE, CNSMR_ACCT, CTXSYS, DATA_DCTNRY, DBSNMP, DEV_USER, DIP, ECHELON, GSMADMIN_INTERNAL, GSMCATUSER, GSMUSER, MEDIA, MOBILE, MSG_INCDNT, OUTLN, PICKPACK, PRMCODES, PROXY_CN, PROXY_RO, PROXY_RW, QA_USER, QRTZ, RDSADMIN, REC_ENGINE, RSEARCH_LOG, SEN_DATA, SEN_EVENTS, SEN_SCHDL, SEN_STAGE, SEN_UPLOAD, STATSMART, STATS_CORE, STATS_DATA, SYS, SYSBACKUP, SYSDG, SYSKM, SYSTEM, UBER, VBIS, VEGE, XDB, XS$NULL]]

REQUEST HEADERS: Connection: keep-alive
Content-Type: application/json
Content-Length: 0
Host: dev-api-live.r4cloud.com
User-Agent: Apache-HttpClient/4.5.5 (Java/1.8.0_161)


",903,285,1,1,264,0,0
1531829512128,264,[TC] - Repo_TC-599,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - Repo 1-1,,false,,903,285,1,1,264,9,0
1531829561353,961,GET - Browse Schema_TC-600,200,OK,[TG] - Repo 1-1,text,false,"Any or all Diagnostic fields are missing.

URL: http://dev-api-live.r4cloud.com/Statistics/v4/rest/repos/browse/impala/dobie

JSON RESPONSE: [diagnostics:[error:0, processingTimeMs:7], data:[account_history, account_raw, account_shadow, account_ti, cs121_ah130, cs121_ar130, cs121_as130, cs1_ah1, cs1_ar1, cs1_as1, cs21_ah1, cs21_ah21, cs21_ar1, cs21_ar21, cs21_as1, cs21_as21, cs22_ah1, cs22_ah22, cs22_ar1, cs22_ar22, cs22_as1, cs22_as22, cs23_ah23, cs23_ar23, cs23_as23, cs24_ah25, cs24_ah42, cs24_ar25, cs24_ar42, cs24_as25, cs24_as42, cs24_dh81, cs24_dr81, cs24_ds81, cs24_th63, cs24_tr63, cs24_ts63, cs41_ah101, cs41_ar101, cs41_as101, cs42_ah102, cs42_ar102, cs42_as102, document_history, document_raw, document_shadow, document_ti, guid_cleanup, security_history, security_raw, security_shadow, security_ti, signature_mapping, transaction_history, transaction_raw, transaction_shadow, transaction_ti]]

REQUEST HEADERS: Connection: keep-alive
Content-Type: application/json
Content-Length: 0
Host: dev-api-live.r4cloud.com
User-Agent: Apache-HttpClient/4.5.5 (Java/1.8.0_161)


",1162,293,1,1,960,0,509
1531829561352,961,[TC] - Repo_TC-600,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - Repo 1-1,,false,,1162,293,1,1,960,53,509
1531829562368,261,GET - Browse Schema_TC-601,200,OK,[TG] - Repo 1-1,text,false,"Any or all Diagnostic fields are missing.

URL: http://dev-api-live.r4cloud.com/Statistics/v4/rest/repos/browse/test/dobie

JSON RESPONSE: [diagnostics:[error:0, processingTimeMs:6], data:[]]

REQUEST HEADERS: Connection: keep-alive
Content-Type: application/json
Content-Length: 0
Host: dev-api-live.r4cloud.com
User-Agent: Apache-HttpClient/4.5.5 (Java/1.8.0_161)


",330,291,1,1,261,0,0
1531829562368,261,[TC] - Repo_TC-601,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - Repo 1-1,,false,,330,291,1,1,261,2,0
